KodePerusahaan,DER2019,DER2020,DER2021,DAR2019,DAR2020,DAR2021
ADHI,4.34,5.83,6.05,0.81,0.85,0.86
DGIK,0.99,0.71,0.55,0.50,0.42,0.36
NRCA,1.02,0.93,0.84,0.50,0.48,0.46
PTPP,2.41,2.82,2.88,0.71,0.74,0.74
TOTL,1.75,1.54,1.21,0.64,0.61,0.55
WIKA,2.23,3.09,2.98,0.69,0.76,0.75
WSKT,3.21,5.37,5.70,0.76,0.84,0.85
JKON,0.83,0.70,0.56,0.45,0.41,0.36
CSIS,1.29,1.01,0.83,0.56,0.50,0.45
IDPR,0.65,0.97,1.41,0.39,0.49,0.59
TOPS,1.33,1.78,1.79,0.57,0.64,0.64
WEGE,1.52,1.77,1.51,0.60,0.64,0.60
PBSA,0.34,0.31,0.34,0.26,0.24,0.25
SRKN,1.27,1.75,1.60,0.56,0.64,0.62
SSIA,0.81,0.80,0.91,0.45,0.45,0.48
TAMA,5.10,2.38,2.48,0.84,0.70,0.71
